fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
leanprover/TenCert,leanprover,TenCert,9,0,0.0008650948644855007,30,leanprover/lean4:v4.19.0,https://github.com/leanprover/TenCert,204.0
JadAbouHawili/Game,JadAbouHawili,Game,4,0,0.0008650948644855007,17,leanprover/lean4:v4.29.1,https://github.com/JadAbouHawili/KnightsAndKnaves-Lean4Game,204.66666666666666
metamatematico/metamath_prover,metamatematico,metamath_prover,3,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0-rc4,https://github.com/metamatematico/Metamatematico---Razonamiento-Formal-con-Lean,205.66666666666666
nielstron/langlib,nielstron,langlib,3,0,0.0008650948644855007,16,leanprover/lean4:v4.28.0,https://github.com/nielstron/langlib,205.66666666666666
KislyjKisel/raylib,KislyjKisel,raylib,29,0,0.0008650948644855007,80,leanprover/lean4-pr-releases:pr-release-8152,https://github.com/KislyjKisel/Raylib.lean,205.66666666666666
Philogy/remco-mul,Philogy,remco-mul,9,0,0.0008650948644855007,31,leanprover/lean4:v4.29.0,https://github.com/Philogy/remco-mul-verification,206.33333333333334
argumentcomputer/RustFFI.lean,argumentcomputer,RustFFI.lean,15,0,0.0008650948644855007,49,leanprover/lean4:nightly-2022-12-08,https://github.com/argumentcomputer/RustFFI.lean,206.66666666666666
knowsys/certifyingDatalog,knowsys,certifyingDatalog,13,0,0.0008650948644855007,44,leanprover/lean4:v4.29.0,https://github.com/knowsys/CertifyingDatalog,207.33333333333334
leanprover/subverso,leanprover,subverso,7,12,0.0029893818529243615,34,leanprover/lean4:v4.29.0-rc7,https://github.com/leanprover/subverso,207.66666666666666
alexjbest/leaff,alexjbest,leaff,25,0,0.0008650948644855007,80,leanprover/lean4:v4.11.0-rc3,https://github.com/alexjbest/leaff,208.0
fpvandoorn/bonnAnalysis,fpvandoorn,bonnAnalysis,12,0,0.0008650948644855007,43,leanprover/lean4:v4.10.0-rc1,https://github.com/fpvandoorn/BonnAnalysis,210.33333333333334
Anderssorby/SDL,Anderssorby,SDL,24,0,0.0008650948644855007,80,leanprover/lean4:v4.26.0,https://github.com/Anderssorby/SDL.lean,210.66666666666666
input-output-hk/CardanoLedgerApi,input-output-hk,CardanoLedgerApi,4,0,0.0008650948644855007,18,leanprover/lean4:v4.24.0,https://github.com/input-output-hk/CardanoLedgerApiBlaster,210.66666666666666
YellPika/quasi-borel-spaces,YellPika,quasi-borel-spaces,10,0,0.0008650948644855007,35,leanprover/lean4:v4.28.0-rc1,https://github.com/YellPika/quasi-borel-spaces,211.0
argumentcomputer/Blake3,argumentcomputer,Blake3,6,1,0.0010489190571362985,28,leanprover/lean4:v4.29.0,https://github.com/argumentcomputer/Blake3.lean,211.33333333333334
RemyDegenne/clt,RemyDegenne,clt,16,0,0.0008650948644855007,57,leanprover/lean4:v4.29.0-rc3,https://github.com/RemyDegenne/CLT,211.66666666666666
